id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|descripcion|cantidad_presentacion|unidad_medida|marca|precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
20|1|1|6000001016912|1|POLLO ARROLLADO FELA KG. |1.00|kg|FRIGORIFICO PALADINI|21300.00|21300.00|1.00|kg||||
20|1|2|6000001016912|1|POLLO ARROLLADO FELA KG. |1.00|kg|FRIGORIFICO PALADINI|21300.00|21300.00|1.00|kg||||
20|1|1|6000001183782|1|POLLO FILET PECHUGA KG|1.00|kg|FRIGORIFICO S.ISABEL|9895.00|9895.00|1.00|kg||||
20|1|2|6000001183782|1|POLLO FILET PECHUGA KG|1.00|kg|FRIGORIFICO S.ISABEL|9895.00|9895.00|1.00|kg||||
20|1|3|6000001183782|1|POLLO FILET PECHUGA KG|1.00|kg|FRIGORIFICO S.ISABEL|9895.00|9895.00|1.00|kg||||
20|1|2|6000001021930|1|POLLO PATA MUSLO KG.|1.00|kg|FRIGORIFICO S.ISABEL|4960.00|4960.00|1.00|kg||||
20|1|1|6000000119386|1|POLLO SANTA ISABEL KG.|1.00|kg|FRIGORIFICO S.ISABEL|3970.00|3970.00|1.00|kg||||
20|1|2|6000000119386|1|POLLO SANTA ISABEL KG.|1.00|kg|FRIGORIFICO S.ISABEL|3970.00|3970.00|1.00|kg||||
20|1|3|6000000119386|1|POLLO SANTA ISABEL KG.|1.00|kg|FRIGORIFICO S.ISABEL|3970.00|3970.00|1.00|kg||||
20|1|1|7791520009576|1|POLVO DESOD. VERITAS  PEDICO 120G|120.00|gr|LA FARMACO ARGENTINA|2770.65|23088.75|1.00|kg||||
20|1|2|7791520009576|1|POLVO DESOD. VERITAS  PEDICO 120G|120.00|gr|LA FARMACO ARGENTINA|2770.65|23088.75|1.00|kg||||
20|1|1|7791274196416|1|POLVO DESOD.ALGABO FOOT 200G DOYPAC|200.00|gr|ALGABO PERFUMERIA|1820.00|9100.00|1.00|kg||||
20|1|4|7791274196416|1|POLVO DESOD.ALGABO FOOT 200G DOYPAC|200.00|gr|ALGABO PERFUMERIA|1820.00|9100.00|1.00|kg||||
